Benchmark level: 2.5% per year 
Test period: 25570101 - 25570311
Fund,8,9,10,11,12,13,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,0,60,10,10,10,10,2.30716,26.50128,2,27
allocation,0,70,0,10,10,10,2.44544,32.02685,2,32
allocation,0,70,10,0,10,10,2.55596,34.00800,3,34
allocation,0,70,10,10,0,10,3.04125,38.68856,3,39
allocation,0,70,10,10,10,0,2.08153,27.04065,2,27
allocation,0,80,0,0,10,10,2.63099,39.50556,3,40
allocation,0,80,0,10,0,10,3.06578,44.12405,3,44
allocation,0,80,0,10,10,0,2.22656,32.59224,2,33
allocation,0,80,10,0,0,10,3.14871,46.06887,3,46
allocation,0,80,10,0,10,0,2.33043,34.57369,2,35
allocation,0,80,10,10,0,0,2.76031,39.23676,3,39
allocation,0,90,0,0,0,10,3.14514,51.47778,3,51
allocation,0,90,0,0,10,0,2.42117,40.09630,2,40
allocation,0,90,0,10,0,0,2.80947,44.69750,3,45
allocation,0,90,10,0,0,0,2.89065,46.64266,3,47
allocation,0,100,0,0,0,0,2.91231,52.07588,3,52
allocation,10,50,10,10,10,10,2.34050,26.79613,2,27
allocation,10,60,0,10,10,10,2.47515,32.31786,2,32
allocation,10,60,10,0,10,10,2.58663,34.29701,3,34
allocation,10,60,10,10,0,10,3.07423,38.97558,3,39
allocation,10,60,10,10,10,0,2.10996,27.33501,2,27
allocation,10,70,0,0,10,10,2.65819,39.79085,3,40
allocation,10,70,0,10,0,10,3.09492,44.40740,3,44
allocation,10,70,0,10,10,0,2.25216,32.88279,2,33
allocation,10,70,10,0,0,10,3.17869,46.35029,3,46
allocation,10,70,10,0,10,0,2.35673,34.86224,2,35
allocation,10,70,10,10,0,0,2.78843,39.52332,3,40
allocation,10,80,0,0,0,10,3.17163,51.75565,3,52
allocation,10,80,0,0,10,0,2.44480,40.38115,2,40
allocation,10,80,0,10,0,0,2.83463,44.98041,3,45
allocation,10,80,10,0,0,0,2.91646,46.92365,3,47
allocation,10,90,0,0,0,0,2.93543,52.35332,3,52
allocation,20,40,10,10,10,10,2.37365,27.09105,2,27
allocation,20,50,0,10,10,10,2.50472,32.60895,3,33
allocation,20,50,10,0,10,10,2.61719,34.58609,3,35
allocation,20,50,10,10,0,10,3.10703,39.26267,3,39
allocation,20,50,10,10,10,0,2.13826,27.62945,2,28
allocation,20,60,0,0,10,10,2.68530,40.07622,3,40
allocation,20,60,0,10,0,10,3.12391,44.69083,3,45
allocation,20,60,0,10,10,0,2.27766,33.17340,2,33
allocation,20,60,10,0,0,10,3.20856,46.63179,3,47
allocation,20,60,10,0,10,0,2.38295,35.15086,2,35
allocation,20,60,10,10,0,0,2.81640,39.80996,3,40
allocation,20,70,0,0,0,10,3.19803,52.03359,3,52
allocation,20,70,0,0,10,0,2.46837,40.66607,2,41
allocation,20,70,0,10,0,0,2.85969,45.26338,3,45
allocation,20,70,10,0,0,0,2.94218,47.20470,3,47
allocation,20,80,0,0,0,0,2.95848,52.63084,3,53
allocation,30,30,10,10,10,10,2.40658,27.38604,2,27
allocation,30,40,0,10,10,10,2.53413,32.90011,3,33
allocation,30,40,10,0,10,10,2.64763,34.87524,3,35
allocation,30,40,10,10,0,10,3.13961,39.54984,3,40
allocation,30,40,10,10,10,0,2.16641,27.92396,2,28
allocation,30,50,0,0,10,10,2.71232,40.36167,3,40
allocation,30,50,0,10,0,10,3.15274,44.97433,3,45
allocation,30,50,0,10,10,0,2.30304,33.46409,2,33
allocation,30,50,10,0,0,10,3.23830,46.91336,3,47
allocation,30,50,10,0,10,0,2.40907,35.43956,2,35
allocation,30,50,10,10,0,0,2.84422,40.09666,3,40
allocation,30,60,0,0,0,10,3.22433,52.31161,3,52
allocation,30,60,0,0,10,0,2.49186,40.95107,2,41
allocation,30,60,0,10,0,0,2.88462,45.54643,3,46
allocation,30,60,10,0,0,0,2.96781,47.48584,3,47
allocation,30,70,0,0,0,0,2.98146,52.90843,3,53
allocation,40,20,10,10,10,10,2.43928,27.68111,2,28
allocation,40,30,0,10,10,10,2.56336,33.19134,3,33
allocation,40,30,10,0,10,10,2.67793,35.16447,3,35
allocation,40,30,10,10,0,10,3.17196,39.83709,3,40
allocation,40,30,10,10,10,0,2.19440,28.21854,2,28
