Benchmark level: 2.5% per year 
Test period: 25570101 - 25570311
Fund,1,2,3,4,5,6,7,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,0,0,0,0,0,0,100,3.12598,32.94339,3,33
allocation,0,0,0,0,0,10,90,3.12558,31.32339,3,31
allocation,0,0,0,0,0,20,80,3.12538,29.70129,3,30
allocation,0,0,0,0,0,30,70,3.12540,28.07709,3,28
allocation,0,0,0,0,0,40,60,3.12568,26.45078,3,26
allocation,0,0,0,0,0,50,50,3.12627,24.82237,3,25
allocation,0,0,0,0,0,60,40,3.12722,23.19184,3,23
allocation,0,0,0,0,0,70,30,3.12859,21.55919,3,22
allocation,0,0,0,0,0,80,20,3.13046,19.92442,3,20
allocation,0,0,0,0,0,90,10,3.13291,18.28752,3,18
allocation,0,0,0,0,0,100,0,3.13607,16.64849,3,17
allocation,0,0,0,0,10,0,90,3.12443,30.51443,3,31
allocation,0,0,0,0,10,10,80,3.12429,28.89126,3,29
allocation,0,0,0,0,10,20,70,3.12440,27.26599,3,27
allocation,0,0,0,0,10,30,60,3.12478,25.63861,3,26
allocation,0,0,0,0,10,40,50,3.12550,24.00912,3,24
allocation,0,0,0,0,10,50,40,3.12660,22.37751,3,22
allocation,0,0,0,0,10,60,30,3.12817,20.74378,3,21
allocation,0,0,0,0,10,70,20,3.13028,19.10792,3,19
allocation,0,0,0,0,10,80,10,3.13306,17.46993,3,17
allocation,0,0,0,0,10,90,0,3.13661,15.82981,3,16
allocation,0,0,0,0,20,0,80,3.12320,28.08069,3,28
allocation,0,0,0,0,20,10,70,3.12339,26.45435,3,26
allocation,0,0,0,0,20,20,60,3.12389,24.82589,3,25
allocation,0,0,0,0,20,30,50,3.12474,23.19532,3,23
allocation,0,0,0,0,20,40,40,3.12602,21.56263,3,22
allocation,0,0,0,0,20,50,30,3.12780,19.92781,3,20
allocation,0,0,0,0,20,60,20,3.13019,18.29087,3,18
allocation,0,0,0,0,20,70,10,3.13331,16.65179,3,17
allocation,0,0,0,0,20,80,0,3.13731,15.01058,3,15
allocation,0,0,0,0,30,0,70,3.12239,25.64216,3,26
allocation,0,0,0,0,30,10,60,3.12300,24.01263,3,24
allocation,0,0,0,0,30,20,50,3.12400,22.38098,3,22
allocation,0,0,0,0,30,30,40,3.12546,20.74720,3,21
allocation,0,0,0,0,30,40,30,3.12748,19.11130,3,19
allocation,0,0,0,0,30,50,20,3.13017,17.47327,3,17
allocation,0,0,0,0,30,60,10,3.13368,15.83310,3,16
allocation,0,0,0,0,30,70,0,3.13820,14.19079,3,14
allocation,0,0,0,0,40,0,60,3.12211,23.19883,3,23
allocation,0,0,0,0,40,10,50,3.12327,21.56609,3,22
allocation,0,0,0,0,40,20,40,3.12493,19.93123,3,20
allocation,0,0,0,0,40,30,30,3.12721,18.29424,3,18
allocation,0,0,0,0,40,40,20,3.13025,16.65512,3,17
allocation,0,0,0,0,40,50,10,3.13420,15.01386,3,15
allocation,0,0,0,0,40,60,0,3.13930,13.37045,3,13
allocation,0,0,0,0,50,0,50,3.12256,20.75066,3,21
allocation,0,0,0,0,50,10,40,3.12444,19.11471,3,19
allocation,0,0,0,0,50,20,30,3.12701,17.47663,3,17
allocation,0,0,0,0,50,30,20,3.13043,15.83642,3,16
allocation,0,0,0,0,50,40,10,3.13489,14.19406,3,14
allocation,0,0,0,0,50,50,0,3.14065,12.54956,3,13
allocation,0,0,0,0,60,0,40,3.12399,18.29764,3,18
allocation,0,0,0,0,60,10,30,3.12688,16.65847,3,17
allocation,0,0,0,0,60,20,20,3.13072,15.01717,3,15
allocation,0,0,0,0,60,30,10,3.13576,13.37372,3,13
allocation,0,0,0,0,60,40,0,3.14230,11.72812,3,12
allocation,0,0,0,0,70,0,30,3.12683,15.83977,3,16
allocation,0,0,0,0,70,10,20,3.13116,14.19736,3,14
allocation,0,0,0,0,70,20,10,3.13685,12.55281,3,13
allocation,0,0,0,0,70,30,0,3.14430,10.90611,3,11
allocation,0,0,0,0,80,0,20,3.13174,13.37701,3,13
allocation,0,0,0,0,80,10,10,3.13820,11.73136,3,12
allocation,0,0,0,0,80,20,0,3.14671,10.08356,3,10
allocation,0,0,0,0,90,0,10,3.13985,10.90935,3,11
allocation,0,0,0,0,90,10,0,3.14962,9.26044,3,9
allocation,0,0,0,0,100,0,0,3.15313,8.43677,3,8
allocation,0,0,0,10,0,0,90,3.12323,29.71756,3,30
allocation,0,0,0,10,0,10,80,3.12316,28.09333,3,28
allocation,0,0,0,10,0,20,70,3.12336,26.46700,3,26
