Benchmark level: 2.5% per year 
Test period: 25570101 - 25570311
Fund,1,2,3,4,8,9,10,13,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,0,0,0,0,0,80,10,10,3.14871,46.06887,3,46
allocation,0,0,0,0,0,90,0,10,3.14514,51.47778,3,51
allocation,0,0,0,0,0,90,10,0,2.89065,46.64266,3,47
allocation,0,0,0,0,0,100,0,0,2.91231,52.07588,3,52
allocation,0,0,0,0,10,70,10,10,3.17869,46.35029,3,46
allocation,0,0,0,0,10,80,0,10,3.17163,51.75565,3,52
allocation,0,0,0,0,10,80,10,0,2.91646,46.92365,3,47
allocation,0,0,0,0,10,90,0,0,2.93543,52.35332,3,52
allocation,0,0,0,0,20,60,10,10,3.20856,46.63179,3,47
allocation,0,0,0,0,20,70,0,10,3.19803,52.03359,3,52
allocation,0,0,0,0,20,70,10,0,2.94218,47.20470,3,47
allocation,0,0,0,0,20,80,0,0,2.95848,52.63084,3,53
allocation,0,0,0,0,30,50,10,10,3.23830,46.91336,3,47
allocation,0,0,0,0,30,60,0,10,3.22433,52.31161,3,52
allocation,0,0,0,0,30,60,10,0,2.96781,47.48584,3,47
allocation,0,0,0,0,30,70,0,0,2.98146,52.90843,3,53
allocation,0,0,0,0,40,40,10,10,3.26791,47.19500,3,47
allocation,0,0,0,0,40,50,0,10,3.25053,52.58970,3,53
allocation,0,0,0,0,40,50,10,0,2.99333,47.76704,3,48
allocation,0,0,0,0,40,60,0,0,3.00434,53.18610,3,53
allocation,0,0,0,0,50,30,10,10,3.29737,47.47672,3,47
allocation,0,0,0,0,50,40,0,10,3.27661,52.86788,3,53
allocation,0,0,0,0,50,40,10,0,3.01873,48.04832,3,48
allocation,0,0,0,0,50,50,0,0,3.02714,53.46384,3,53
allocation,0,0,0,0,60,20,10,10,3.32667,47.75852,3,48
allocation,0,0,0,0,60,30,0,10,3.30257,53.14613,3,53
allocation,0,0,0,0,60,30,10,0,3.04401,48.32968,3,48
allocation,0,0,0,0,60,40,0,0,3.04984,53.74166,3,54
allocation,0,0,0,0,70,10,10,10,3.35579,48.04040,3,48
allocation,0,0,0,0,70,20,0,10,3.32839,53.42446,3,53
allocation,0,0,0,0,70,20,10,0,3.06916,48.61111,3,49
allocation,0,0,0,0,70,30,0,0,3.07243,54.01956,3,54
allocation,0,0,0,0,80,0,10,10,3.38471,48.32236,3,48
allocation,0,0,0,0,80,10,0,10,3.35407,53.70286,3,54
allocation,0,0,0,0,80,10,10,0,3.09416,48.89262,3,49
allocation,0,0,0,0,80,20,0,0,3.09491,54.29753,3,54
allocation,0,0,0,0,90,0,0,10,3.37959,53.98135,3,54
allocation,0,0,0,0,90,0,10,0,3.11901,49.17421,3,49
allocation,0,0,0,0,90,10,0,0,3.11727,54.57558,3,55
allocation,0,0,0,0,100,0,0,0,3.13951,54.85371,3,55
allocation,0,0,0,10,0,70,10,10,3.17370,40.97197,3,41
allocation,0,0,0,10,0,80,0,10,3.16584,46.39952,3,46
allocation,0,0,0,10,0,80,10,0,2.88105,41.52282,3,42
allocation,0,0,0,10,0,90,0,0,2.90464,46.97531,3,47
allocation,0,0,0,10,10,60,10,10,3.20821,41.25678,3,41
allocation,0,0,0,10,10,70,0,10,3.19586,46.68071,3,47
allocation,0,0,0,10,10,70,10,0,2.91022,41.80718,3,42
allocation,0,0,0,10,10,80,0,0,2.93045,47.25606,3,47
allocation,0,0,0,10,20,50,10,10,3.24257,41.54167,3,42
