Benchmark level: 2.5% per year 
Test period: 25570101 - 25570311
Fund,3,4,5,6,7,8,9,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,0,0,0,0,0,0,100,2.91231,52.07588,3,52
allocation,0,0,0,0,0,10,90,2.93543,52.35332,3,52
allocation,0,0,0,0,0,20,80,2.95848,52.63084,3,53
allocation,0,0,0,0,0,30,70,2.98146,52.90843,3,53
allocation,0,0,0,0,0,40,60,3.00434,53.18610,3,53
allocation,0,0,0,0,0,50,50,3.02714,53.46384,3,53
allocation,0,0,0,0,0,60,40,3.04984,53.74166,3,54
allocation,0,0,0,0,0,70,30,3.07243,54.01956,3,54
allocation,0,0,0,0,0,80,20,3.09491,54.29753,3,54
allocation,0,0,0,0,0,90,10,3.11727,54.57558,3,55
allocation,0,0,0,0,0,100,0,3.13951,54.85371,3,55
allocation,0,0,0,0,10,0,90,2.92418,50.16752,3,50
allocation,0,0,0,0,10,10,80,2.94829,50.44635,3,50
allocation,0,0,0,0,10,20,70,2.97231,50.72526,3,51
allocation,0,0,0,0,10,30,60,2.99625,51.00424,3,51
allocation,0,0,0,0,10,40,50,3.02009,51.28330,3,51
allocation,0,0,0,0,10,50,40,3.04382,51.56243,3,52
allocation,0,0,0,0,10,60,30,3.06744,51.84164,3,52
allocation,0,0,0,0,10,70,20,3.09094,52.12093,3,52
allocation,0,0,0,0,10,80,10,3.11431,52.40029,3,52
allocation,0,0,0,0,10,90,0,3.13755,52.67973,3,53
allocation,0,0,0,0,20,0,80,2.93744,48.25802,3,48
allocation,0,0,0,0,20,10,70,2.96261,48.53826,3,49
allocation,0,0,0,0,20,20,60,2.98769,48.81856,3,49
allocation,0,0,0,0,20,30,50,3.01266,49.09895,3,49
allocation,0,0,0,0,20,40,40,3.03753,49.37940,3,49
allocation,0,0,0,0,20,50,30,3.06227,49.65994,3,50
allocation,0,0,0,0,20,60,20,3.08688,49.94055,3,50
allocation,0,0,0,0,20,70,10,3.11135,50.22124,3,50
allocation,0,0,0,0,20,80,0,3.13568,50.50200,3,51
allocation,0,0,0,0,30,0,70,2.95227,46.34740,3,46
allocation,0,0,0,0,30,10,60,2.97860,46.62904,3,47
allocation,0,0,0,0,30,20,50,3.00482,46.91076,3,47
allocation,0,0,0,0,30,30,40,3.03092,47.19256,3,47
allocation,0,0,0,0,30,40,30,3.05689,47.47443,3,47
allocation,0,0,0,0,30,50,20,3.08271,47.75638,3,48
allocation,0,0,0,0,30,60,10,3.10839,48.03840,3,48
allocation,0,0,0,0,30,70,0,3.13390,48.32050,3,48
allocation,0,0,0,0,40,0,60,2.96890,44.43567,3,44
allocation,0,0,0,0,40,10,50,2.99649,44.71874,3,45
allocation,0,0,0,0,40,20,40,3.02394,45.00188,3,45
allocation,0,0,0,0,40,30,30,3.05126,45.28510,3,45
allocation,0,0,0,0,40,40,20,3.07842,45.56840,3,46
allocation,0,0,0,0,40,50,10,3.10542,45.85177,3,46
allocation,0,0,0,0,40,60,0,3.13224,46.13521,3,46
allocation,0,0,0,0,50,0,50,2.98760,42.52287,3,43
allocation,0,0,0,0,50,10,40,3.01655,42.80737,3,43
allocation,0,0,0,0,50,20,30,3.04536,43.09195,3,43
allocation,0,0,0,0,50,30,20,3.07400,43.37660,3,43
allocation,0,0,0,0,50,40,10,3.10245,43.66133,3,44
allocation,0,0,0,0,50,50,0,3.13072,43.94613,3,44
allocation,0,0,0,0,60,0,40,3.00867,40.60900,3,41
allocation,0,0,0,0,60,10,30,3.03913,40.89495,3,41
allocation,0,0,0,0,60,20,20,3.06941,41.18097,3,41
allocation,0,0,0,0,60,30,10,3.09948,41.46707,3,41
allocation,0,0,0,0,60,40,0,3.12935,41.75325,3,42
allocation,0,0,0,0,70,0,30,3.03252,38.69409,3,39
allocation,0,0,0,0,70,10,20,3.06462,38.98150,3,39
allocation,0,0,0,0,70,20,10,3.09651,39.26898,3,39
allocation,0,0,0,0,70,30,0,3.12815,39.55654,3,40
allocation,0,0,0,0,80,0,20,3.05961,36.77818,3,37
allocation,0,0,0,0,80,10,10,3.09352,37.06705,3,37
allocation,0,0,0,0,80,20,0,3.12717,37.35601,3,37
allocation,0,0,0,0,90,0,10,3.09053,34.86127,3,35
allocation,0,0,0,0,90,10,0,3.12643,35.15162,3,35
allocation,0,0,0,0,100,0,0,3.12598,32.94339,3,33
allocation,0,0,0,10,0,0,90,2.91528,48.56408,3,49
allocation,0,0,0,10,0,10,80,2.94021,48.84388,3,49
allocation,0,0,0,10,0,20,70,2.96506,49.12376,3,49
allocation,0,0,0,10,0,30,60,2.98982,49.40371,3,49
allocation,0,0,0,10,0,40,50,3.01447,49.68374,3,50
allocation,0,0,0,10,0,50,40,3.03902,49.96385,3,50
allocation,0,0,0,10,0,60,30,3.06345,50.24403,3,50
allocation,0,0,0,10,0,70,20,3.08775,50.52428,3,51
allocation,0,0,0,10,0,80,10,3.11191,50.80462,3,51
allocation,0,0,0,10,0,90,0,3.13593,51.08503,3,51
allocation,0,0,0,10,10,0,80,2.92882,46.65271,3,47
allocation,0,0,0,10,10,10,70,2.95490,46.93392,3,47
allocation,0,0,0,10,10,20,60,2.98087,47.21521,3,47
allocation,0,0,0,10,10,30,50,3.00674,47.49657,3,47
allocation,0,0,0,10,10,40,40,3.03250,47.77801,3,48
allocation,0,0,0,10,10,50,30,3.05812,48.05952,3,48
allocation,0,0,0,10,10,60,20,3.08361,48.34111,3,48
allocation,0,0,0,10,10,70,10,3.10894,48.62278,3,49
allocation,0,0,0,10,10,80,0,3.13412,48.90452,3,49
allocation,0,0,0,10,20,0,70,2.94403,44.74022,3,45
allocation,0,0,0,10,20,10,60,2.97134,45.02285,3,45
allocation,0,0,0,10,20,20,50,2.99855,45.30556,3,45
allocation,0,0,0,10,20,30,40,3.02562,45.58834,3,46
allocation,0,0,0,10,20,40,30,3.05256,45.87120,3,46
allocation,0,0,0,10,20,50,20,3.07935,46.15413,3,46
allocation,0,0,0,10,20,60,10,3.10597,46.43714,3,46
allocation,0,0,0,10,20,70,0,3.13243,46.72023,3,47
allocation,0,0,0,10,30,0,60,2.96114,42.82664,3,43
allocation,0,0,0,10,30,10,50,2.98981,43.11070,3,43
allocation,0,0,0,10,30,20,40,3.01834,43.39484,3,43
allocation,0,0,0,10,30,30,30,3.04673,43.67906,3,44
allocation,0,0,0,10,30,40,20,3.07495,43.96335,3,44
