Benchmark level: 2.5% per year 
Test period: 25540101 - 25570311
Fund,8,9,10,11,12,13,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,0,60,10,10,10,10,0.28146,4.09808,0,4
allocation,0,70,0,10,10,10,0.25916,4.11264,0,4
allocation,0,70,10,0,10,10,0.33637,5.26850,0,5
allocation,0,70,10,10,0,10,0.37067,5.70873,0,6
allocation,0,70,10,10,10,0,0.31796,5.09545,0,5
allocation,0,80,0,0,10,10,0.31207,5.31353,0,5
allocation,0,80,0,10,0,10,0.34375,5.74438,0,6
allocation,0,80,0,10,10,0,0.29625,5.13300,0,5
allocation,0,80,10,0,0,10,0.41424,6.83674,0,7
allocation,0,80,10,0,10,0,0.36540,6.25119,0,6
allocation,0,80,10,10,0,0,0.39630,6.67393,0,7
allocation,0,90,0,0,0,10,0.38645,6.90015,0,7
allocation,0,90,0,0,10,0,0.34233,6.31778,0,6
allocation,0,90,0,10,0,0,0.37109,6.73075,0,7
allocation,0,90,10,0,0,0,0.43465,7.78876,0,8
allocation,0,100,0,0,0,0,0.40889,7.87220,0,8
allocation,10,50,10,10,10,10,0.28381,4.12490,0,4
allocation,10,60,0,10,10,10,0.26128,4.13915,0,4
allocation,10,60,10,0,10,10,0.33858,5.29382,0,5
allocation,10,60,10,10,0,10,0.37294,5.73369,0,6
allocation,10,60,10,10,10,0,0.32008,5.12120,0,5
allocation,10,70,0,0,10,10,0.31406,5.33863,0,5
allocation,10,70,0,10,0,10,0.34579,5.76909,0,6
allocation,10,70,0,10,10,0,0.29818,5.15849,0,5
allocation,10,70,10,0,0,10,0.41635,6.86040,0,7
allocation,10,70,10,0,10,0,0.36738,6.27556,0,6
allocation,10,70,10,10,0,0,0.39832,6.69798,0,7
allocation,10,80,0,0,0,10,0.38835,6.92363,0,7
allocation,10,80,0,0,10,0,0.34412,6.34197,0,6
allocation,10,80,0,10,0,0,0.37293,6.75459,0,7
allocation,10,80,10,0,0,0,0.43655,7.81160,0,8
allocation,10,90,0,0,0,0,0.41061,7.89491,0,8
allocation,20,40,10,10,10,10,0.28615,4.15210,0,4
allocation,20,50,0,10,10,10,0.26340,4.16603,0,4
allocation,20,50,10,0,10,10,0.34076,5.31951,0,5
allocation,20,50,10,10,0,10,0.37518,5.75902,0,6
allocation,20,50,10,10,10,0,0.32217,5.14733,0,5
allocation,20,60,0,0,10,10,0.31603,5.36408,0,5
allocation,20,60,0,10,0,10,0.34781,5.79415,0,6
allocation,20,60,0,10,10,0,0.30009,5.18434,0,5
allocation,20,60,10,0,0,10,0.41843,6.88440,0,7
allocation,20,60,10,0,10,0,0.36935,6.30028,0,6
allocation,20,60,10,10,0,0,0.40033,6.72238,0,7
allocation,20,70,0,0,0,10,0.39023,6.94744,0,7
allocation,20,70,0,0,10,0,0.34591,6.36651,0,6
allocation,20,70,0,10,0,0,0.37476,6.77877,0,7
allocation,20,70,10,0,0,0,0.43842,7.83477,0,8
allocation,20,80,0,0,0,0,0.41231,7.91794,0,8
allocation,30,30,10,10,10,10,0.28846,4.17970,0,4
allocation,30,40,0,10,10,10,0.26550,4.19329,0,4
allocation,30,40,10,0,10,10,0.34292,5.34556,0,5
allocation,30,40,10,10,0,10,0.37738,5.78471,0,6
allocation,30,40,10,10,10,0,0.32425,5.17384,0,5
allocation,30,50,0,0,10,10,0.31798,5.38988,0,5
allocation,30,50,0,10,0,10,0.34982,5.81957,0,6
allocation,30,50,0,10,10,0,0.30199,5.21056,0,5
allocation,30,50,10,0,0,10,0.42049,6.90874,0,7
allocation,30,50,10,0,10,0,0.37128,6.32537,0,6
allocation,30,50,10,10,0,0,0.40230,6.74714,0,7
allocation,30,60,0,0,0,10,0.39209,6.97158,0,7
allocation,30,60,0,0,10,0,0.34768,6.39140,0,6
allocation,30,60,0,10,0,0,0.37656,6.80330,0,7
allocation,30,60,10,0,0,0,0.44026,7.85828,0,8
allocation,30,70,0,0,0,0,0.41400,7.94130,0,8
allocation,40,20,10,10,10,10,0.29075,4.20768,0,4
allocation,40,30,0,10,10,10,0.26759,4.22092,0,4
allocation,40,30,10,0,10,10,0.34505,5.37197,0,5
allocation,40,30,10,10,0,10,0.37955,5.81077,0,6
allocation,40,30,10,10,10,0,0.32630,5.20074,0,5
allocation,40,40,0,0,10,10,0.31992,5.41604,0,5
allocation,40,40,0,10,0,10,0.35180,5.84533,0,6
allocation,40,40,0,10,10,0,0.30387,5.23716,0,5
allocation,40,40,10,0,0,10,0.42251,6.93342,0,7
allocation,40,40,10,0,10,0,0.37320,6.35081,0,6
allocation,40,40,10,10,0,0,0.40425,6.77225,0,7
allocation,40,50,0,0,0,10,0.39393,6.99606,0,7
allocation,40,50,0,0,10,0,0.34943,6.41664,0,6
allocation,40,50,0,10,0,0,0.37835,6.82817,0,7
allocation,40,50,10,0,0,0,0.44208,7.88213,0,8
allocation,40,60,0,0,0,0,0.41566,7.96500,0,8
allocation,50,10,10,10,10,10,0.29302,4.23605,0,4
allocation,50,20,0,10,10,10,0.26966,4.24893,0,4
allocation,50,20,10,0,10,10,0.34715,5.39876,0,5
allocation,50,20,10,10,0,10,0.38169,5.83718,0,6
allocation,50,20,10,10,10,0,0.32832,5.22801,0,5
allocation,50,30,0,0,10,10,0.32184,5.44256,0,5
allocation,50,30,0,10,0,10,0.35376,5.87146,0,6
allocation,50,30,0,10,10,0,0.30574,5.26413,0,5
allocation,50,30,10,0,0,10,0.42450,6.95845,0,7
allocation,50,30,10,0,10,0,0.37509,6.37662,0,6
allocation,50,30,10,10,0,0,0.40616,6.79773,0,7
allocation,50,40,0,0,0,10,0.39575,7.02088,0,7
allocation,50,40,0,0,10,0,0.35117,6.44223,0,6
allocation,50,40,0,10,0,0,0.38012,6.85341,0,7
allocation,50,40,10,0,0,0,0.44386,7.90633,0,8
allocation,50,50,0,0,0,0,0.41730,7.98903,0,8
allocation,60,0,10,10,10,10,0.29525,4.26482,0,4
allocation,60,10,0,10,10,10,0.27172,4.27733,0,4
allocation,60,10,10,0,10,10,0.34922,5.42591,0,5
allocation,60,10,10,10,0,10,0.38379,5.86397,0,6
allocation,60,10,10,10,10,0,0.33032,5.25568,0,5
allocation,60,20,0,0,10,10,0.32374,5.46943,0,5
allocation,60,20,0,10,0,10,0.35569,5.89794,0,6
allocation,60,20,0,10,10,0,0.30759,5.29148,0,5
allocation,60,20,10,0,0,10,0.42646,6.98383,0,7
allocation,60,20,10,0,10,0,0.37695,6.40280,0,6
allocation,60,20,10,10,0,0,0.40805,6.82357,0,7
allocation,60,30,0,0,0,10,0.39754,7.04603,0,7
allocation,60,30,0,0,10,0,0.35289,6.46819,0,6
allocation,60,30,0,10,0,0,0.38186,6.87899,0,7
allocation,60,30,10,0,0,0,0.44562,7.93086,0,8
allocation,60,40,0,0,0,0,0.41893,8.01339,0,8
allocation,70,0,0,10,10,10,0.27375,4.30611,0,4
allocation,70,0,10,0,10,10,0.35127,5.45344,0,5
allocation,70,0,10,10,0,10,0.38585,5.89113,0,6
allocation,70,0,10,10,10,0,0.33229,5.28374,0,5
allocation,70,10,0,0,10,10,0.32562,5.49668,0,5
allocation,70,10,0,10,0,10,0.35760,5.92478,0,6
allocation,70,10,0,10,10,0,0.30942,5.31921,0,5
allocation,70,10,10,0,0,10,0.42838,7.00955,0,7
allocation,70,10,10,0,10,0,0.37879,6.42935,0,6
allocation,70,10,10,10,0,0,0.40990,6.84978,0,7
allocation,70,20,0,0,0,10,0.39931,7.07153,0,7
allocation,70,20,0,0,10,0,0.35459,6.49450,0,6
allocation,70,20,0,10,0,0,0.38359,6.90493,0,7
allocation,70,20,10,0,0,0,0.44735,7.95575,0,8
allocation,70,30,0,0,0,0,0.42053,8.03810,0,8
allocation,80,0,0,0,10,10,0.32748,5.52428,0,6
allocation,80,0,0,10,0,10,0.35949,5.95198,0,6
allocation,80,0,0,10,10,0,0.31124,5.34732,0,5
allocation,80,0,10,0,0,10,0.43026,7.03563,0,7
allocation,80,0,10,0,10,0,0.38060,6.45626,0,6
allocation,80,0,10,10,0,0,0.41172,6.87635,0,7
allocation,80,10,0,0,0,10,0.40106,7.09737,0,7
allocation,80,10,0,0,10,0,0.35627,6.52117,0,7
allocation,80,10,0,10,0,0,0.38529,6.93124,0,7
allocation,80,10,10,0,0,0,0.44905,7.98098,0,8
allocation,80,20,0,0,0,0,0.42211,8.06315,0,8
allocation,90,0,0,0,0,10,0.40278,7.12355,0,7
allocation,90,0,0,0,10,0,0.35793,6.54821,0,7
allocation,90,0,0,10,0,0,0.38696,6.95790,0,7
allocation,90,0,10,0,0,0,0.45072,8.00656,0,8
allocation,90,10,0,0,0,0,0.42367,8.08854,0,8
allocation,100,0,0,0,0,0,0.42520,8.11427,0,8
