Benchmark level: 2.5% per year 
Test period: 25540101 - 25570311
Fund,1,2,3,4,5,6,7,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,0,0,0,0,0,0,100,0.19611,1.83433,0,2
allocation,0,0,0,0,0,10,90,0.19024,1.69656,0,2
allocation,0,0,0,0,0,20,80,0.18399,1.56014,0,2
allocation,0,0,0,0,0,30,70,0.17729,1.42512,0,1
allocation,0,0,0,0,0,40,60,0.17007,1.29151,0,1
allocation,0,0,0,0,0,50,50,0.16223,1.15937,0,1
allocation,0,0,0,0,0,60,40,0.15363,1.02873,0,1
allocation,0,0,0,0,0,70,30,0.14410,0.89963,0,1
allocation,0,0,0,0,0,80,20,0.13342,0.77211,0,1
allocation,0,0,0,0,0,90,10,0.12128,0.64620,0,1
allocation,0,0,0,0,0,100,0,0.10726,0.52197,0,1
allocation,0,0,0,0,10,0,90,0.18885,1.64304,0,2
allocation,0,0,0,0,10,10,80,0.18248,1.50737,0,2
allocation,0,0,0,0,10,20,70,0.17563,1.37310,0,1
allocation,0,0,0,0,10,30,60,0.16823,1.24028,0,1
allocation,0,0,0,0,10,40,50,0.16017,1.10893,0,1
allocation,0,0,0,0,10,50,40,0.15128,0.97910,0,1
allocation,0,0,0,0,10,60,30,0.14139,0.85083,0,1
allocation,0,0,0,0,10,70,20,0.13024,0.72416,0,1
allocation,0,0,0,0,10,80,10,0.11747,0.59913,0,1
allocation,0,0,0,0,10,90,0,0.10260,0.47578,0,0
allocation,0,0,0,0,20,0,80,0.18094,1.45500,0,1
allocation,0,0,0,0,20,10,70,0.17394,1.32150,0,1
allocation,0,0,0,0,20,20,60,0.16635,1.18946,0,1
allocation,0,0,0,0,20,30,50,0.15804,1.05892,0,1
allocation,0,0,0,0,20,40,40,0.14885,0.92991,0,1
allocation,0,0,0,0,20,50,30,0.13856,0.80248,0,1
allocation,0,0,0,0,20,60,20,0.12688,0.67666,0,1
allocation,0,0,0,0,20,70,10,0.11341,0.55251,0,1
allocation,0,0,0,0,20,80,0,0.09757,0.43006,0,0
allocation,0,0,0,0,30,0,70,0.17222,1.27031,0,1
allocation,0,0,0,0,30,10,60,0.16442,1.13907,0,1
allocation,0,0,0,0,30,20,50,0.15584,1.00933,0,1
allocation,0,0,0,0,30,30,40,0.14631,0.88116,0,1
allocation,0,0,0,0,30,40,30,0.13559,0.75457,0,1
allocation,0,0,0,0,30,50,20,0.12333,0.62962,0,1
allocation,0,0,0,0,30,60,10,0.10906,0.50636,0,1
allocation,0,0,0,0,30,70,0,0.09211,0.38481,0,0
allocation,0,0,0,0,40,0,60,0.16244,1.08910,0,1
allocation,0,0,0,0,40,10,50,0.15357,0.96018,0,1
allocation,0,0,0,0,40,20,40,0.14367,0.83284,0,1
allocation,0,0,0,0,40,30,30,0.13246,0.70712,0,1
allocation,0,0,0,0,40,40,20,0.11954,0.58304,0,1
allocation,0,0,0,0,40,50,10,0.10437,0.46067,0,0
allocation,0,0,0,0,40,60,0,0.08614,0.34004,0,0
allocation,0,0,0,0,50,0,50,0.15122,0.91147,0,1
allocation,0,0,0,0,50,10,40,0.14091,0.78498,0,1
allocation,0,0,0,0,50,20,30,0.12915,0.66011,0,1
allocation,0,0,0,0,50,30,20,0.11550,0.53692,0,1
allocation,0,0,0,0,50,40,10,0.09930,0.41546,0,0
allocation,0,0,0,0,50,50,0,0.07956,0.29576,0,0
allocation,0,0,0,0,60,0,40,0.13801,0.73756,0,1
allocation,0,0,0,0,60,10,30,0.12565,0.61357,0,1
allocation,0,0,0,0,60,20,20,0.11115,0.49127,0,0
allocation,0,0,0,0,60,30,10,0.09375,0.37072,0,0
allocation,0,0,0,0,60,40,0,0.07226,0.25195,0,0
