Benchmark level: 2.5% per year 
Test period: 25540101 - 25570311
Fund,3,4,5,6,7,8,9,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,0,0,0,0,0,0,100,0.46122,9.58322,0,10
allocation,0,0,0,0,0,10,90,0.46310,9.60967,0,10
allocation,0,0,0,0,0,20,80,0.46496,9.63650,0,10
allocation,0,0,0,0,0,30,70,0.46680,9.66372,0,10
allocation,0,0,0,0,0,40,60,0.46862,9.69132,0,10
allocation,0,0,0,0,0,50,50,0.47041,9.71931,0,10
allocation,0,0,0,0,0,60,40,0.47218,9.74770,0,10
allocation,0,0,0,0,0,70,30,0.47393,9.77648,0,10
allocation,0,0,0,0,0,80,20,0.47565,9.80566,0,10
allocation,0,0,0,0,0,90,10,0.47734,9.83524,0,10
allocation,0,0,0,0,0,100,0,0.47900,9.86522,0,10
allocation,0,0,0,0,10,0,90,0.45037,8.76424,0,9
allocation,0,0,0,0,10,10,80,0.45245,8.79102,0,9
allocation,0,0,0,0,10,20,70,0.45450,8.81820,0,9
allocation,0,0,0,0,10,30,60,0.45653,8.84576,0,9
allocation,0,0,0,0,10,40,50,0.45854,8.87372,0,9
allocation,0,0,0,0,10,50,40,0.46052,8.90207,0,9
allocation,0,0,0,0,10,60,30,0.46247,8.93083,0,9
allocation,0,0,0,0,10,70,20,0.46439,8.95998,0,9
allocation,0,0,0,0,10,80,10,0.46628,8.98954,0,9
allocation,0,0,0,0,10,90,0,0.46814,9.01951,0,9
allocation,0,0,0,0,20,0,80,0.43810,7.95588,0,8
allocation,0,0,0,0,20,10,70,0.44040,7.98312,0,8
allocation,0,0,0,0,20,20,60,0.44268,8.01077,0,8
allocation,0,0,0,0,20,30,50,0.44492,8.03882,0,8
allocation,0,0,0,0,20,40,40,0.44714,8.06726,0,8
allocation,0,0,0,0,20,50,30,0.44932,8.09611,0,8
allocation,0,0,0,0,20,60,20,0.45147,8.12537,0,8
allocation,0,0,0,0,20,70,10,0.45359,8.15504,0,8
allocation,0,0,0,0,20,80,0,0.45567,8.18512,0,8
allocation,0,0,0,0,30,0,70,0.42403,7.15774,0,7
allocation,0,0,0,0,30,10,60,0.42657,7.18558,0,7
allocation,0,0,0,0,30,20,50,0.42908,7.21384,0,7
allocation,0,0,0,0,30,30,40,0.43157,7.24250,0,7
allocation,0,0,0,0,30,40,30,0.43401,7.27157,0,7
allocation,0,0,0,0,30,50,20,0.43642,7.30106,0,7
allocation,0,0,0,0,30,60,10,0.43879,7.33096,0,7
allocation,0,0,0,0,30,70,0,0.44113,7.36128,0,7
allocation,0,0,0,0,40,0,60,0.40760,6.36948,0,6
allocation,0,0,0,0,40,10,50,0.41041,6.39806,0,6
allocation,0,0,0,0,40,20,40,0.41318,6.42705,0,6
allocation,0,0,0,0,40,30,30,0.41592,6.45647,0,6
allocation,0,0,0,0,40,40,20,0.41862,6.48630,0,6
allocation,0,0,0,0,40,50,10,0.42128,6.51657,0,7
allocation,0,0,0,0,40,60,0,0.42389,6.54726,0,7
allocation,0,0,0,0,50,0,50,0.38807,5.59080,0,6
allocation,0,0,0,0,50,10,40,0.39117,5.62025,0,6
allocation,0,0,0,0,50,20,30,0.39423,5.65013,0,6
allocation,0,0,0,0,50,30,20,0.39724,5.68044,0,6
allocation,0,0,0,0,50,40,10,0.40022,5.71118,0,6
allocation,0,0,0,0,50,50,0,0.40314,5.74236,0,6
allocation,0,0,0,0,60,0,40,0.36442,4.82144,0,5
allocation,0,0,0,0,60,10,30,0.36783,4.85191,0,5
